ID,Tipo,SKU,Nombre,Precio rebajado,Precio normal,Posición,Etiquetas,Categorías,Marcas,Marca,Superior,_regla_oferta
20194,variation,MFS9000CNV-ATM45,Botas Commando Desert Hombre Verde Musgo - 45/46,83994,139990,1,,,Hunter,Hunter,MFS9000CNV-ATM,Botas mujer/hombre 40% off
20293,variable,WFT2052NRE-DOV,Botas Estilo Sherpa Con Parte Superior Enrollable Para Mujer Verde Oliva,,,1,"Impermeables, Sherpa, Verde, Ofertas","Tipo de producto > Botas, Género, Género > Mujer, Tipo de producto",Hunter,Hunter,,Botas mujer/hombre 40% off
18530,variation,WFS1000RGL-BLK40/41,Botas De Agua Bajas Y Brillantes Original Para Mujer Negro - 40/41,72594,120990,1,,,Hunter,Hunter,WFS1000RGL-BLK,Botas mujer/hombre 40% off
18538,variation,WFS1000RMA-DOV36,Botas De Agua Bajas Original Para Mujer Verde Oliva - 36,72594,120990,1,,,Hunter,Hunter,WFS1000RMA-DOV,Botas mujer/hombre 40% off
18550,variation,WFS2020RMA-BLK36,Botas De Agua Bajas Play Mujer Negro - 36,59994,99990,1,,,Hunter,Hunter,WFS2020RMA-BLK,Botas mujer/hombre 40% off
18562,variation,WFS2020RMA-LRD36,Botas de Agua Bajas Play para Mujer Rojo - 36,65994,109990,1,,,Hunter,Hunter,WFS2020RMA-LRD,Botas mujer/hombre 40% off
18568,variation,WFS2048RMA-BLK36,Botas De Agua Aislantes Bajas Original Para Mujer BLK - 36,83994,139990,1,,,Hunter,Hunter,WFS2048RMA-BLK,Botas mujer/hombre 40% off
18580,variation,WFT1000RGL-BLK36,Botas Altas Y Brillantes Original Para Mujer Negro - 36,101994,169990,1,,,Hunter,Hunter,WFT1000RGL-BLK,Botas mujer/hombre 40% off
18594,variation,WFT1000RGL-DOV36,Botas Altas Y Brillantes Original Para Mujer Verde Oliva - 36,77994,129990,1,,,Hunter,Hunter,WFT1000RGL-DOV,Botas mujer/hombre 40% off
18602,variation,WFT1000RGL-GRA38,Botas Altas Y Brillantes Original Para Mujer Grafito - 38,101994,169990,1,,,Hunter,Hunter,WFT1000RGL-GRA,Botas mujer/hombre 40% off
18611,variation,WFT1000RGL-MLR42,Botas Altas Y Brillantes Original Para Mujer Rojo Militar - 42,101994,169990,1,,,Hunter,Hunter,WFT1000RGL-MLR,Botas mujer/hombre 40% off
18612,variation,WFT1000RMA-DOV36,Botas De Agua Altas Original Para Mujer Verde Oliva - 36,77994,129990,1,,,Hunter,Hunter,WFT1000RMA-DOV,Botas mujer/hombre 40% off
18627,variation,WFT1000RMA-HGR39,Botas De Agua Altas Original Para Mujer Verde - 39,101994,169990,1,,,Hunter,Hunter,WFT1000RMA-HGR,Botas mujer/hombre 40% off
18634,variation,UAS3000AAA-BLKM,Hunter Calcetín Bota Negra - M,14994,24990,1,,,Hunter,Hunter,UAS3000AAA-BLK,Accesorios 40% off
18674,variation,WFT1000RMA-MLR36,Botas de Agua Altas para Mujer Rojo Militar - 36,101994,169990,1,,,Hunter,Hunter,WFT1000RMA-MLR,Botas mujer/hombre 40% off
